title,price,rating,reviews,availability
PlayStation 4 500GB Console (Renewed),,4.0 out of 5 stars,"1,139 ratings",Not Available
PlayStation 4 Slim 1TB Console - Black (Renewed),,4.5 out of 5 stars,"1,590 ratings",Only 1 left in stock - order soon.
"Sony PlayStation 4 Pro w/ Accessories, 1TB HDD, CUH-7215B - Jet Black (Renewed)",,4.5 out of 5 stars,930 ratings,Only 12 left in stock - order soon.
"Playstation SONY 4, 500GB Slim System [CUH-2215AB01], Black, 3003347 (Renewed)",,4.4 out of 5 stars,426 ratings,Not Available
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,699 ratings",Not Available
PlayStation 4 Console - 1TB Slim Edition (Renewed),,4.3 out of 5 stars,71 ratings,Not Available
PlayStation®5 Digital Edition (slim),,4.7 out of 5 stars,"5,480 ratings",Not Available
PlayStation 2 Slim Console PS2 (Renewed),,3.9 out of 5 stars,"1,236 ratings",Not Available
"Sony PlayStation 4 Pro w/ Accessories, 1TB HDD, CUH-7215B - Jet Black (Renewed)",,4.1 out of 5 stars,912 ratings,Not Available
"Playstation SONY 4, 500GB Slim System [CUH-2215AB01], Black, 3003347 (Renewed)",,4.4 out of 5 stars,426 ratings,Not Available
"Sony Playstation 3 160GB CECH-3001A, Console Only (Renewed)",,4.5 out of 5 stars,377 ratings,Only 3 left in stock - order soon.
Sony - PlayStation 4 Pro Console (3002470) Jet Black - 1TB - Renewed,,4.4 out of 5 stars,257 ratings,Not Available
